ARIAL SDF	Fonts & Materials/ARIAL SDF		
Illness/DLC_2/WildSpore_Name	Wild Spore		
Illness/DLC_3/Ant_Description	Sufferers are chiefly characterised by having a large, ant-like head in place of their own. Should be treated with a mixture of bug repellent and mashed potatoes. Caused by bites from radioactive ants or failure to clear a teleporter before use.		
Illness/DLC_3/Ant_Name	Anty Matter		From "antimatter."
Illness/DLC_3/Asterrhoids_Description	Sufferers exhibit a sensitive, fluorescent area of inflammation. Caused by crops being contaminated with space dust, making them too volatile for consumption. Requires treatment with anti-inflammatory bum-salve.		
Illness/DLC_3/Asterrhoids_Name	Asterrhoids		Asteroid+Hemorrhoids
Illness/DLC_3/Astro_Description	Aliens from other planets have heard about Two Point County and don't want to miss out. They've travelled light-years for the things that you and I take for granted. Though not strictly a disease, they need to be treated to live the earthy lives of their inter-galactic dreams.		
Illness/DLC_3/Astro_Name	Lack of Humanity		In real life, "lack of humanity" wouldmean "understanding and kindness toward other people." Here the meaning is literal, as in the patient is not really human.
Illness/DLC_3/Astroknot_Description	Parts of the body's internal structure have intertwined into complex orbital structures and require untying. Caused by gone off space food and trying to understand astrophysics.		
Illness/DLC_3/Astroknot_Name	Astroknot		Astronaut+Knot
Illness/DLC_3/Cardboard_Description	A condition caused by cramped transport or losing battles with 'easy-build' wardrobes. Sufferers need to be rebuilt from this simplified, condensed state.		
Illness/DLC_3/Cardboard_Name	Flat-Packed		From "flatpack": \nhttps://dictionary.cambridge.org/dictionary/english/flatpack
Illness/DLC_3/Confidentures_Description	Unwanted knowledge of classified information has caused alarming levels of teeth gritting and tongue biting. The teeth have become tense and dissociated from the rest of the body and feel like an entirely separate, potentially detachable, entity. The sufferer requires therapy to reacquaint themselves with their own mouth.		
Illness/DLC_3/Confidentures_Name	Confidentures		Confidential+dentures
Illness/DLC_3/Continuthumb_Description	The sufferer's thumb has an incredible range of movement. It's possible that it could come in handy - get it, handy? - but mainly it's just really painful and needs fixing.		
Illness/DLC_3/Continuthumb_Name	Continuthumb		Continuum+Thumb
Illness/DLC_3/Cosmoss_Description	The sufferer has a parasitic space moss growing inside of them. They will experience intermittent moments of cosmic peace, before a painful death. Requires treating with, either, the sap of an ancient moon tree or domestic weed killer.		
Illness/DLC_3/Cosmoss_Name	Cosmoss		Cosmos+moss
Illness/DLC_3/Cow_Description	Sufferers have become unenamoured with being human. Rather than deal with their issues, they hang out in fields and pretend to be cows. Must be treated quickly, before they're abducted by cow-collecting aliens.		
Illness/DLC_3/Cow_Name	Bowhine		Bovine+whine
Illness/DLC_3/CrapDalek_Description	An unhealthy enthusiasm for 'sci-fi' has caused the sufferer to trap themselves in a makeshift costume of a, supposedly, popular character. They require treatment before they lose what's left of them and end up looking like that forever. I mean, look at them.		
Illness/DLC_3/CrapDalek_Name	Space Caged		
Illness/DLC_3/DeepSeaDiver_Description	Sufferers need to wear protective clothing due to being 'ill-suited' to Two Point County'. With a course of medicinal therapy and a nice lie down, patients can become acclimated. Deeply Ill-Suited patients are sealed in a water-tight environment to keep out the County's atmosphere.		
Illness/DLC_3/DeepSeaDiver_Name	Deeply Ill-Suited		"Ill-Suited" in real life means to be unsuitable for something. This is a pun on being ill and wearing a suit (a scuba-diving suit, in this case). "Deeply" can mean both "very" and being a scuba diver (being "deep" under the water).
Illness/DLC_3/Extraterrestical_Description	The body contains a small, surplus, celestial organ. The "terrestical" should be removed to avoid future complications, such an involuntary gravitational collapse. 		
Illness/DLC_3/Extraterrestical_Name	Extraterrestical		
Illness/DLC_3/FlackHole_Description	The sufferer's mouth exhibits signs of abnormal density, producing words at a pathological, extremely irritating, rate. Peace and quiet are out of the question until the condition is treated. Caused by thought provoking mini series and mind-bending space fruits. 		
Illness/DLC_3/FlackHole_Name	Flack Hole		Flack+black hole
Illness/DLC_3/Frog_Description	Years ago an alien life-form scanned the universe to find its closest genetic relative and found the frogs of Earth. They planned to visit their relative, and to take on their form, so as not to alarm anyone, but arrived without an escape plan or looking into the social status and engineering capabilities of the common frog. Generations later, these aliens are sick of being stuck here, so they've devised human-style outer shells to transport them to labs and hospitals, so they can be changed back into their true form and then go home.		
Illness/DLC_3/Frog_Name	Frogborne		
Illness/DLC_3/GormDeficiency_Description	The sufferer's genetic common-sense has begun to faulter. Newly produced cells now lack the "gorm" gene entirely. They must undergo treatment before becoming irrevocably foolish.		
Illness/DLC_3/GormDeficiency_Name	Gorm Deficiency		"Gormless" means "stupid" in BrE.
Illness/DLC_3/Grunt_Description	Also know as the 'Henchman Phenomenon', a fault in the DNA has caused the sufferer's motivation to become straightforward and one dimensional. They must undergo treatment before someone with the wrong idea takes advantage.		
Illness/DLC_3/Grunt_Name	Grunt		
Illness/DLC_3/HGSwells_Description	Stands for something. Swelling caused by an unhealthy fear of alien invasion or taking the radio too seriously.		
Illness/DLC_3/HGSwells_Name	H. G. Swells		From author "H.G. Wells," and "Swells" as in "swelling."
Illness/DLC_3/HomeSick_Description	Nausea induced by being a long way from home, or, sometimes, an allergic reaction to houses in Two Point County. Sufferers require a treatment that resets their concept of 'home' and accustoms them to drywall and throw pillows.		
Illness/DLC_3/HomeSick_Name	Home Sick		From "homesick."
Illness/DLC_3/Horrorscope_Description	An infection of the eye caused by dirty telescopes, binoculars or space goggles. Sufferers predict upsetting events and see really off-putting things.		
Illness/DLC_3/Horrorscope_Name	Horrorscope		Horror+horoscope
Illness/DLC_3/Hyperrealty_Description	Overexposure to the housing market has left the sufferer with an unhealthy relationship with territory, as well as fixations on water pressure and curtains. Their obsession with fabrics must be removed from the fabric of their being.		
Illness/DLC_3/Hyperrealty_Name	Hyperrealty		Comes from "realty" (selling houses) and "hyperreality."
Illness/DLC_3/Isotrope_Description	The sufferer has begun to become an all-but-identical variation of themselves. Caused by exposure to, and the subsequent absorption of, trends and idioms. Needs to be treated before they become too irritating or dangerously radioactive.		
Illness/DLC_3/Isotrope_Name	Isotrope		Isotope+Trope
Illness/DLC_3/Meteormites_Description	Microscopic space parasites have claimed the sufferer as their new home. The bugs' development occurs on an advanced time-frame so the sufferer must be treated with medicine that makes their body an unfit host before the mites' civilisation reaches the 'Apocalyptic Age'.		
Illness/DLC_3/Meteormites_Name	Meteormites		Meteorite+Mites
Illness/DLC_3/Neutrainers_Description	Blistering caused by going sockless in new shoes or irregular subatomic activity around the ankles. Unusually common in people adjusting to the footwear conventions of a new solar system. 		
Illness/DLC_3/Neutrainers_Name	Neutrainers		Neutrinos + New trainers
Illness/DLC_3/PlanetaryRing_Description	A point of incredible density has formed a ring inside the body, made of breadcrumbs and space rocks, that's swirling around all over the place. A surgeon must siphon out the density, and give their innards a good vacuuming, before they turn inside-out. Caused by bootlegged jelly beans and indigestion at warp-speed.		
Illness/DLC_3/PlanetaryRing_Name	Planetary Ring		
Illness/DLC_3/PropellerHead_Description	A condition caused by an infestation of airborne space ticks. The host takes on the ticks' love of flying, and can be seen wearing silly propeller hats or jumping, optimistically, from small heights believing that they're "learning to glide".		
Illness/DLC_3/PropellerHead_Name	Fanatick		Fanatic+Tick
Illness/DLC_3/Respirator_Description	An allergic reaction to G-force has caused the sufferer to reject their environment. Caused by riding roller coasters during pollen season or sneezing at the wrong moment during re-entry.		
Illness/DLC_3/Respirator_Name	Aller-Gs		Allergies + G (as common abbreviation for "gravity")
Illness/DLC_3/SilverSpandex_Description	The sufferer is trapped in a form-fitting, silver suit and must be treated before they erode from chafing. Caused by an admirable, ill-conceived desire to take fashion into the future - today!		
Illness/DLC_3/SilverSpandex_Name	Science Friction		Science fiction + Friction
Illness/DLC_3/SituationalGravity_Description	A condition that creates a localised microgravity environment within the body. The organs float freely and peacefully around the body: it is incredibly dangerous. The airlock must be broken and the atmosphere reset. Caused by space hiccups and an inability to deal with grave situations.		
Illness/DLC_3/SituationalGravity_Name	Situational Gravity		
Illness/DLC_3/Spacesuit_Description	Sufferers need to wear protective clothing due to being 'ill-suited' to Two Point County. With a course of medicinal therapy and a nice lie down, patients can become acclimated. Highly Ill-Suited patients are sealed in an air-tight environment to keep out the County's atmosphere.		
Illness/DLC_3/Spacesuit_Name	Highly Ill-Suited		"Ill-Suited" in real life means to be unsuitable for something. This is a pun on being ill and wearing a suit (a space suit, in this case). "Highly" can mean both "very" and being an astronaut (being "very high" in the sky).
Illness/DLC_3/Sputnek_Description	A locking of the neck that shifts with the phases of the moon. Caused by looking directly upwards at stars, planets or satellites.		
Illness/DLC_3/Sputnek_Name	Sputneck		Sputnik + Neck
Illness/DLC_3/StarStruck_Description	Impact with rogue star fragments has resulted in bodily fractures. Most common in those people who tend to know when the next eclipse is going to be.		
Illness/DLC_3/StarStruck_Name	Star Struck		Star Trek + Struck
Illness/DLC_3/SuperHero_Description	Sufferers believe, or want to believe, that they can help society on a level above recycling and door-holding. Caused by commercial cinema and the grind of the everyday. Needs to be treated before they, inevitably, lose the fight against crime.		
Illness/DLC_3/SuperHero_Name	Hero Complex		
Illness/DLC_3/Telemutation_Description	Parts of the sufferer have been lost during trans-galactic teleportation. The body that remains is a temporary, fail-state, version of the individual pre-travel. They must now undergo DNA recovery so the original can be extrapolated from what remains.		
Illness/DLC_3/Telemutation_Name	Telemutation		
Illness/DLC_3/Warped_Description	The sufferer's insides have curved like wet wood. Caused by faulty space travel and unseasonably wet autumns.		
Illness/DLC_3/Warped_Name	Warped		From the literal meaning of something being warped/bent, and the meaning "warp" typically has in sci-fi.
Illness/DLC_3/ZodiacArrest_Description	The body has fallen out of its celestial cadence, or something, thus explaining why everything has been going badly. Caused by losing contact with the moon, red meat and inhaling fortune cookies three-abreast.		
Illness/DLC_3/ZodiacArrest_Name	Zodiac Arrest		Zodiac + Cardiac arrest
Illness/DLC_4/AvocadoHands_Description	The sufferer's hands have become soft and mushy, much like the flesh of an avocado, causing them to break and fall apart at even the most mush-friendly tasks. Caused by early morning gentrification and shortening it to "avo".		
Illness/DLC_4/AvocadoHands_Name	Avocado Hands		This is a set phrase: https://www.healthline.com/health/avocado-hand#:~:targetText=Avocado%20hand%20occurs%20when%20the,cut%20your%20hand%20or%20fingers.\n\nYou can rewrite the whole thing and don't need need to keep the avocado theme, but preferably stay within the nature, organic, farm, hippy, ecology theme of the DLC if possible.
Illness/DLC_4/Bioweasel_Description	An aggressive weasel-borne bacteria that lays dormant in organic fruit and vegetables, before attacking the system of unsuspecting saladeers. The DNA must be treated with the horrible, plant-cleaning chemicals that, unfortunately, would have prevented this from happening in the first place.		
Illness/DLC_4/Bioweasel_Name	Bioweasel		Pun on "biodiesel." No need to maintain any sort of reference to weasels in the translations though.
Illness/DLC_4/BodilyDruids_Description	Some of the body’s glands have begun secreting tiny stones. How did they get there? What are they for? These are questions that science continues to ask itself. Caused by admiring nature at particular times of year.		
Illness/DLC_4/BodilyDruids_Name	Bodily Druids		Pun on "bodily fluids."
Illness/DLC_4/BurningDesire_Description	A spark, as can happen, has lead to a fire. Caused by a deep passion for anything or anyone, chewing on dried grass and playing one's stomach like the bellows.		
Illness/DLC_4/BurningDesire_Name	Burning Desire		"Burning desire" is a set phrase.
Illness/DLC_4/CarbonFootprint_Description	Formerly termed Sooty Foot, this condition causes a discharge of smokey residue around the feet and ankles. The sufferer's DNA must be examined, and the problem removed from the chain for good. Caused by eating burnt toast, playing with matches and not doing your part.		
Illness/DLC_4/CarbonFootprint_Name	Carbon Footprint		This is a thing (https://en.wikipedia.org/wiki/Carbon_footprint), though as it's often the case, Two Point Studios is taking the phrase quite literally.
Illness/DLC_4/ChocolateShorts_Description	An accident caused by long drives, big sneezes and undercooked camp meat. The afflicted need a change of clothes and someone to tell them that it happens to the best of us.		
Illness/DLC_4/ChocolateShorts_Name	Chocolate Shorts		Yes, poop reference.
Illness/DLC_4/Colander_Description	Sufferers are unable to keep track of a single idea. Scans will show that their thoughts have holes in them, which explains why they were talking all that rubbish. It's believed that sufferers don colanders on their heads as an expression of their state of mind, or, perhaps, just because they've lost it, a bit.		
Illness/DLC_4/Colander_Name	Perforated Thoughts		Not sure what's the pun--perforated throat, perhaps? This is a visual illness, the patient wears a collander on their heads.
Illness/DLC_4/CraftAilment_Description	The sufferer, unable to deal with complex, hoppy situations, has been bottling up their emotions, which must now be removed, surgically, and distributed to people that deal in that kind of thing.		
Illness/DLC_4/CraftAilment_Name	Craft Ailment		Pun on "craft ale." You don't need to keep the reference to beers or bottles.
Illness/DLC_4/CrystalBalls_Description	Mysterious glass-like spheres have materialised in the body. This could mean one of a number of things: success in business or romance; grave danger; or low, low prices. They need removing by a surgeon before they break and cause terrible luck as well as untold physical damage.		
Illness/DLC_4/CrystalBalls_Name	Crystal Balls		
Illness/DLC_4/DilutedPupils_Description	A condition that used to be treated with an array of tiny fans is now best handled by ingesting a pharmaceutical blend of sherbet flavoured eye drops and self-dazing flour.		Note "sherbet" in the UK has a different meaning, though again it can be adapted to whatever works.
Illness/DLC_4/DilutedPupils_Name	Diluted Pupils		Pun on "dilated pupils."
Illness/DLC_4/EcoWorrier_Description	Pockets of climate-related dread have begun to attack the self. Sufferers just need a psychiatrist to lie to them for a while, then everything should be fine. Well, not fine, but you know.		
Illness/DLC_4/EcoWorrier_Name	Eco-Worrier		Pun on "eco-warrior" (https://en.wikipedia.org/wiki/Eco-warrior)
Illness/DLC_4/FlappyHamper_Description	Derived from the old expression ("a bit of a Flappy Hamper"), the term is most commonly used in a medical setting to characterise the range of injuries that can be caused by the extremities being shut in wicker baskets. Caused by windy picnic and bad timing.		
Illness/DLC_4/FlappyHamper_Name	Flappy Hamper		Pun on "happy camper."
Illness/DLC_4/FlowerPot_Description	Sufferers displace their environmental anxieties onto domestic gardening, taking obsessive care over carnations and chrysanthemums to make up for what they can't control. Common symptoms, other than its namesake head-pot, include: night-time weeding, fertiliser pockets and bloodshot eyes.		
Illness/DLC_4/FlowerPot_Name	Pothead		This is a thing (https://www.wordreference.com/definition/pothead), within the hippy kinda theme. As it's often the case, Two Point Studios is taking the phrase quite literally.
Illness/DLC_4/FootInMouth_Description	An infection of the judgement gland, caused by double yolks and too many group chats. Sufferers will keep saying the wrong thing, and must be cured before they really blow it and swallow themselves whole.		
Illness/DLC_4/FootInMouth_Name	Foot-in-Mouth		This comes from a set phrase (https://www.woodwardenglish.com/put-your-foot-in-your-mouth-meaning/#:~:targetText=Meaning%20of%20Put%20your%20foot,before%20speaking%20or%20doing%20it.), hence the description. It can be adapted to a similar expression in your language that can work as an illness or condition.
Illness/DLC_4/GreenFingers_Description	Unlike the figurative description of those who quite like gardening, this condition causes literal green-ness of the hands. Sufferers engage, obsessively, in gardening related activities and must be cured before they bury themselves in rakes, seed packets and, eventually, soil.		
Illness/DLC_4/GreenFingers_Name	Green Fingers		Not to be confused with the staff trait also called "green fingers." Please do not follow TM unless it also works as an illness name! Once more, this comes from a set phrase (https://www.wordreference.com/definition/green%20fingers).
Illness/DLC_4/HareHead_Description	The condition is characterised by a pattern of eccentric behaviour and ill-conceived decisions, as well as having a rabbit-like head. Caused by hare allergies, devilish lettuce and all night tea parties.		
Illness/DLC_4/HareHead_Name	Harebrained		This comes from a set expression: https://dictionary.cambridge.org/dictionary/english/harebrained\n\nThis is a visual illness, the patients look like human hares/rabbits.
Illness/DLC_4/HeavyHanded_Description	A chronic lack of subtlety that can cause swelling and increased density of the sufferer's hand-meat, a product of over simplifying arguments and misreading tsp as tbsp. Their internal sensitivity needs recalibrating in order to alleviate the problem, and the strain of lugging around those weighty manuals.		
Illness/DLC_4/HeavyHanded_Name	Heavyhandedness		This comes from a set expression: https://dictionary.cambridge.org/dictionary/english/heavy-handed\n\nAs usual, the illness description is a  mix of the meaning of set expression and a literal meaning.
Illness/DLC_4/Incensed_Description	A negative reaction to fragrant smoke has left the sufferer anything but relaxed. They need to be calmed down with a sophisticated blend of aromas, specially catered to their needs.		
Illness/DLC_4/Incensed_Name	Incensed		This comes from a set phrase (https://dictionary.cambridge.org/dictionary/english/incensed), hence the illness description, and has a reference to incense, hippy-themed.
Illness/DLC_4/MageFright_Description	Fantasy role playing games have left the sufferer paranoid about their vulnerability to wizardry, give them an untraceably small dose of something and tell them it’s magic.		
Illness/DLC_4/MageFright_Name	Mage Fright		Pun on "stage fright."
Illness/DLC_4/Mulch_Description	The stomach is lined with a layer of leaves and woodchips. Symptoms include: unusual rustling and forest floor smell. Caused by ingesting topsoil and general foliage. Sufferers should be told to wash their vegetables and fungi before eating them, not after.		
Illness/DLC_4/Mulch_Name	Mulch		This is a thing: https://dictionary.cambridge.org/dictionary/english/mulch\n\nIt's also within the nature/ecology theme.
Illness/DLC_4/NastyTrip_Description	So-called as the fracturing is a result of a nasty trip. Caused by poor coordination, unseen tree roots and getting distracted by illusionary posters. 		
Illness/DLC_4/NastyTrip_Name	Nasty Trip		This sounds like a bad trip on acid, hiwhc is hippy-themed, though it's being used literally as someone tripping and falling.
Illness/DLC_4/Pesticitis_Description	A condition that causes the sufferer to become a real nuisance. The irritation can take on countless forms, from deliberately clapping at the wrong time, to throwing out perfectly good bread. Commonly contracted from aphids, voles or passed, directly, from someone that's both sickeningly tiresome and tiresomely sick.		
Illness/DLC_4/Pesticitis_Name	Pesticitis		Pun on "appendicitis" (probably?), "pesticide," and "being a pest."
Illness/DLC_4/PineDented_Description	The sufferer is all bent out of shape after bouncing off a piece of woodland. Trees always win, folks.		
Illness/DLC_4/PineDented_Name	Pine Dented		Pun on "pine-scented."
Illness/DLC_4/Pinocchio_Description	Woodworms, loaded with F.I.B. (Falsification Inducing Bacteria), take up residence in an unsuspecting human. The host becomes stiff and wooden, lies to anyone that's willing to listen, and externalises their own conscience. They'll need treatment to feel real again.		
Illness/DLC_4/Pinocchio_Name	Woodworms		
Illness/DLC_4/Puck_Description	Sufferers are stuck, or 'shackled', as a faunier form of themselves, and may exhibit uncharacteristically mischevious or horn-ful behaviour. Needs to be treated with an especially disgusting type of medicine, known as an 'antigoat'. Luckily, sufferers can eat just about anything…		
Illness/DLC_4/Puck_Name	Ramshackled		Comes from a set expression (https://dictionary.cambridge.org/dictionary/english/ramshackle). The focus is in the ram/goat part, you can just ignore the meaning of "ramshackle" really. This is  a visual illness that makes patients look like a weregoat--see reference file for visual.
Illness/DLC_4/Retrogaze_Description	An immersive, hallucinatory form of nostalgia that causes the sufferer to see things the way that they think they used to be, often in a warming, sepia hue. Caused by new, generally less bad, problems, and irregular celestial activity. They need to receive a course of therapy that will show them that things weren't that great then, either.		
Illness/DLC_4/Retrogaze_Name	Retrogaze		Pun on "retrogress" and "gaze."
Illness/DLC_4/Roadstool_Description	The sufferer's bowels have become upset from too much travel. They need medicine that makes their constitution feel at home, so they can, once again, travel comfortably and lightly.		
Illness/DLC_4/Roadstool_Name	Roadstool		Pun on "Toadstool," mushrooms being within the hippy theme. It can be adapted to anything within the broader theme of the DLC though.
Illness/DLC_4/Scarecrow_Description	An extreme form of hay fever, the condition leaves sufferers itchy, upset and capable of defending crops from all manner of avian treachery. Oh yeah, and they've turned into straw… I always forget that part.		
Illness/DLC_4/Scarecrow_Name	Distrawed		Distraught + Straw
Illness/DLC_4/Spellbound_Description	The sufferer is having trouble in the toilet-department after being on the wrong end of a constipation incantation. They say the darkest magic hits you where the sun don't shine.		
Illness/DLC_4/Spellbound_Name	Spellbound		The illness is a play on the word "spellbound" and magic "spells."
Illness/DLC_4/Sproutrage_Description	A condition caused by the heated debate surrounding the humble, miniature cabbage. Sufferers have been worn down by unsustainable exposure to the sheer volume of opinions. We can treat them, but this only ends when people realise that there are more interesting things to talk about.		
Illness/DLC_4/Sproutrage_Name	Sproutrage		Pun on "outrage" and "sprouts."
Illness/DLC_4/Stumblebum_Description	Characterised by bouts of bumbling, cringeworthy foolishness. The sufferer's DNA has been altered after years of trying to seem as if they know what they're doing, despite being well out of their depth. The ineptitude must be genetically removed before they take the rest of us down with them.		
Illness/DLC_4/Stumblebum_Name	Stumblebum		This comes from a set expression: https://dictionary.cambridge.org/dictionary/english/stumblebum
Illness/DLC_4/Tech_Description	The sufferer has been corrupted by flawed, obsolete or malware ridden technology and needs to be treated with an emergency software update. Caused by hyper-connectivity and using your phone on the toilet.		
Illness/DLC_4/Tech_Name	Glitchy Patch		
Illness/DLC_4/TenderBox_Description	Sufferers are characterised by a stifling soreness and a slightly flinty smell. Commonly caused by long camping trips, spent trying to start fires.		
Illness/DLC_4/TenderBox_Name	Tenderbox		Pun on "tinderbox" (a useful thing to have when you're out in the wild), now being "tender."
Illness/DLC_4/VegNose_Description	An infection that transmogrifies the nose, turning the sufferer into a big ol' turnip face. Those afflicted should be warned about burying their heads in the soil or doing that impression of a truffle pig which everyone likes so much.		
Illness/DLC_4/VegNose_Name	Root Snoot		This is a visual illness, with the patient having a turnip for a nose. Check reference file for visual.
Illness/DLC_4/WeepingIris_Description	Sustained sobbing has left the sufferer with a leaky aperture, or two. They require cheering up, and a chemical treatment that tightens the body's plumbing.		
Illness/DLC_4/WeepingIris_Name	Weeping Iris		Unsure what the pun is--iris is a flower, and part of the eye, so it's weeping? Anythig that's a reference to crying or sadness should be fine, especially if also related to nature.
Illness/DecisionRash_Description	An unpleasant rash triggered when the sufferer is forced to make a decision too quickly.		
Illness/DecisionRash_Name	Decision Rash		
Illness/DenimGenes_Description	Skin has the appearance of denim. Causes a great deal of irritation, mainly due to the time it takes to dry after a shower. Believed to be caused by Bungle's genetically-engineered jeans, which have since been recalled.		
Illness/DenimGenes_Name	Denim Genes		
Illness/Electrified_Description	This is what happens if you simultaneously put a knife in a toaster and a fork in a power socket.		
Illness/Electrified_Name	Shock Horror		From set phrase, "shock" also meaning "electricity discharge":\n\nhttps://www.merriam-webster.com/dictionary/shock%20horror
Illness/Emperor sSyndrome_Description	Patients believe they are clothed. They are in for a nude awakening.		
Illness/Emperor sSyndrome_Name	Emperor's Syndrome		Reference to classic faity tale: \n\nhttps://en.wikipedia.org/wiki/The_Emperor%27s_New_Clothes
Illness/EmperorComplex_Name	Emperor Complex		
Illness/FlatulentDNA_Description	A genetic condition.		
Illness/FlatulentDNA_Name	Flatulent DNA		
Illness/FloatyHead_Description	Caused by an overinflated ego.		
Illness/FloatyHead_Name	Floaty Head		Reference to "bloaty head," from the 90's game Theme Hospital. This reference can be ignored and the name can be adapted freely for translation.
Illness/FloppyArm_Description	Caused by excessive physical activity. Requires a Fracture Ward.		
Illness/FloppyArm_Name	Floppy Arm		
Illness/FloppyDiscs_Description	A spinal discombobulation that leaves the sufferer with very limited memory.		
Illness/FloppyDiscs_Name	Floppy Discs		
Illness/Flumps_Description	A most unfortunate genetic condition. Although the flumps can be removed, they frequently grow back. Genetic recombobulation is usually the only option.		
Illness/Flumps_Name	Flumps		
Illness/Frankenstein_Name	Frankenstein		
Illness/FreudianLips_Description	A tendency to pout excessively when faced with a camera. Caused by a build up of lewd thoughts in the cerebral cortex. A psychiatrist must use a subconscious tap to drain the excess thoughts into a beaker, after which they can be safely disposed of in an incinerator.		
Illness/FreudianLips_Name	Freudian Lips		From "Freudian slip."
Illness/FrightHeaded_Description	Eerie thoughts have carved out and replaced all of the important, gooey parts of the inner face. A light emits through the eyes, nose and mouth that, like the sufferer, is more than a little dim. Not to be mistaken for Squashed Head.		"Squashed Head" is not an illness featured in-game. It's just a pun on the fruit "squash" and "to squash" also meaning "to crush." This will need to be fully adapted in the translation.
Illness/FrightHeaded_Name	Frightheadedness		This is a Halloween-only illness replacing "lightheadedness," and it will be treated in the same treatment room. See visual provided by PM.\nIt would be great if translations could be reminiscent of "lightheadedness" just like English is, however if this is not possible adapting freely will be OK.
Illness/GeneticGurning_Description	A genetic condition.		
Illness/GeneticGurning_Name	Genetic Gurning		
Illness/GeneticMumps_Description	A genetic condition.		
Illness/GeneticMumps_Name	Genetic Mumps		
Illness/GreyAnatomy_Description	Existential despair frequently leads to a loss of colour. Requires Chromatherapy.		
Illness/GreyAnatomy_Name	Grey Anatomy		From TV show "Gray's Anatomy."
Illness/Grout_Description	Grout is frequently transmitted in bathrooms, and modern medication is effective, unlike earlier times, when it had to be dug out painfully with a screwdriver.		
Illness/Grout_Name	Grout		
Illness/GurningLoins_Description	A quite unfortunate condition that has to be seen to be believed. But also cannot be unseen. Just don't look at it. Trust me.		
Illness/GurningLoins_Name	Gurning Loins		
Illness/HeartThrob_Description	Painfully attractive. Often leads to heart ache. Requires surgery to make the sufferer as repulsive as possible.		
Illness/HeartThrob_Name	Heart Throb		Comes from "heartthrob": \n\nhttps://www.merriam-webster.com/dictionary/heartthrob
Illness/HopHip_Description	An injury caused by too much hipping and hopping to young people's music. Requires treatment in a Fracture Ward.		
Illness/HopHip_Name	Hop Hip		From "hip hop."
Illness/HumerusInjury_Description	Patients are really not amused by this injury of the upper arm.		
Illness/HumerusInjury_Name	Humerus Injury		"Humerus" sounds like "humorous."
Illness/HurtyLeg_Description	Caused by excessive physical activity. Requires a Fracture Ward.		
Illness/HurtyLeg_Name	Hurty Leg		
Illness/Hyper_Description	Constantly looking for entertainment, food or drink. A psychiatric condition.		
Illness/Hyper_Name	Hyper		
Illness/InflatedEgo_Description	A dangerous build up of narcissistic thoughts. If left untreated, parts of the ego begin to protrude from every orifice, which is highly unpleasant for anyone nearby. A psychiatrist must carefully deflate the ego using a massive pin.		
Illness/InflatedEgo_Name	Inflated Ego		
Illness/JazzHand_Description	A hand injury caused by too much enthusiastic thumb clicking, hand waving, and skin burns resulting from prolonged exposure to acid jazz.		
Illness/JazzHand_Name	Jazz Hand		
Illness/JestInfection_Name	Jest Infection		Final name for the illness that turns patients into clowns. From "chest infection."
Illness/JumboDNA_Description	This condition can be traced back to the DNA Labs of Jumbo Mega Corp. Attempting to create a clone of himself that was twice as big, boss Jumbo McNally inadvertently ended up creating hundreds of people with extra large DNA molecules squeezed into normal-sized bodies.		
Illness/JumboDNA_Name	Jumbo DNA		
Illness/LazyBones_Description	Skeletal fatigue caused by a lack of calcium in the diet. Upon diagnosis, the patient should be immediately rushed to a ward where they must sleep for several days whilst being fed milk and cookies by a nurse.		
Illness/LazyBones_Name	Lazy Bones		From "lazybones": \n\nhttps://www.merriam-webster.com/dictionary/lazybones
Illness/LeopardSkin_Description	A skin abnormality that has become quite fashionable in recent years. This mutation originated in the labs at Grockle Bay Zoo, after a scientist attempted to create a human-cat hybrid, the same incident that led to the related condition, Lion Head.		
Illness/LeopardSkin_Name	Leopard Skin		
Illness/LightHeaded_Description	Lightheaded patients are notable due to their bulbous heads.		
Illness/LightHeaded_Name	Lightheadedness		From "light-headed": \nhttps://www.merriam-webster.com/dictionary/light-headed
Illness/LitterBug_Description	A bacterial infection that causes the sufferer to discard items at random.		
Illness/LitterBug_Name	Litter Bug		From "litterbug": \nhttps://www.merriam-webster.com/dictionary/litterbug
Illness/Lycanthropy_Description	Once thought to be extinct, Lycanthropy is making a comeback in dangerous forests across the land. Sufferers get it from direct exposure to light from the full moon, or possibly from door handles. Research is ongoing to discover which.		
Illness/Lycanthropy_Name	Lycanthropy		
Illness/MarkTestIllness_Description	Test Illness 1		
Illness/MarkTestIllness_Name	Mark Test Illness		
Illness/Mime_Description	A psychiatric condition that causes the sufferer to perceive things that don't exist, usually boxes within which they are trapped. Some scientists have speculated that the box may both exist and not exist, leading to the well known thought experiment, Schrodinger's Mime.		
Illness/Mime_Name	Mime Crisis		
Illness/MiseryGuts_Description	Chronic grumpiness due to a nihilistic semi-colon.		
Illness/MiseryGuts_Name	Misery Guts		
Illness/MonoBrow_Description	Extreme hair growth, caused by excessive consumption of both highbrow and lowbrow entertainment. The monobrow must be carefully removed and placed in a secure container to prevent it from escaping.		
Illness/MonoBrow_Name	Monobrow		
Illness/MoodPoisoning_Description	A dangerous condition that causes the sufferer's health to deteriorate fast. Caused by paying too much attention to what other people think.		
Illness/MoodPoisoning_Name	Mood Poisoning		From "food poisoning."
Illness/MuckyFeet_Description	Feet so grubby that the filth will never come out. Spreads germs like wildfire.		
