ARIAL SDF	Fonts & Materials/ARIAL SDF
Levels/R3_TeachingHospital_Welcome_Title	스모글리 병원
Levels/R4_DisasterHospital_Description	Sweaty Palms 리조트는 잦은 지진 및 기타 자연 재해에 신경 쓰지 않는다면 즐거운 휴가지입니다.
Levels/R4_DisasterHospital_Letter_Star_1	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 1성급 인증을 받았습니다.\n\n어렸을 때 Sweaty Palms 해변을 방문해야했던 기억이납니다. 그 끊임없는 태양과 녹은 용암의 위협에 대한 무언가가 내 신경에 작용했습니다. 더위와 자연 재해의 위협으로 인해 젊은 폭스 브리지보다 훨씬 더 나은 모습을 보여 주셔서 기쁩니다.\n\n계속해서 더 많은 보상을 받거나 다른 곳으로 가서 조직을 확장하세요.
Levels/R4_DisasterHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 2성급 인증을 받았습니다.\n\n소위 '해변 생활'의 매력은 귀하의 직책에 대한 귀하의 헌신과 비교할 수없는 것이 분명합니다. 우선 순위를 불러 일으키는 이 표시에 박수를 보냅니다.\n\n계속해서 더 많은 보상을 받거나 다른 곳으로 가서 조직을 확장하십시오.
Levels/R4_DisasterHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부에서 3성급 인증을 받았습니다.\n\n환경이 무자비한 행정에 적합하지 않다는 사실을 알게되어 마음이 따뜻해집니다. 나는 당신이 신속히 모든 관료들의 영웅이되고 있다고 확신합니다.
Levels/R4_DisasterHospital_Name	땀에 젖은 손바닥
Levels/R4_DisasterHospital_Welcome_Text	아름다운 휴가지 인 Sweaty Palms Resort에 오신 것을 환영합니다. 슬프게도 지진, 화산 활동 및 기타 자연 재해로 인해 시달리고 있습니다. 또한 음모 이론가를 믿으려면 Orb 재단 덕분에 일부 부 자연스러운 재난이 발생했습니다. \\n\\n장비를 수리하고 잔해물을 치울 수 있도록 관리인을 몇명 고용하는 것이 좋습니다. 내 경험상 폭발은 약간 당황 스러울 수 있습니다. 아, 그리고 에어컨도 좋을 텐데, 여기 주변이 끓고 있어요.
Levels/R4_DisasterHospital_Welcome_Title	땀이 많은 팜스 병원
Levels/R4_EpidemicHospital_Description	이 마을은 전염병으로 가득합니다. 그러나 그렇지 않으면 사랑스럽습니다.
Levels/R4_EpidemicHospital_Letter_Star_1	축하합니다. 투 포인트 보건부에서 귀하의 병원에 1성급 인증을 부여했습니다.\n\n예, 세균은 다소 작을 수 있지만 그토록 수많은 위험을 포함하는 것은 작은 업적이 아닙니다. Blighton보다. 이것은 아주 작은 것들과의 싸움에서이긴 중요한 전투입니다.\n\n전투를 계속하거나 카운티 중심부에있는 도시로 모험을 떠나십시오. 대도시가 손짓합니다. 그 부름에 응답할 준비가 되셨습니까? 알다시피, 나는 다소 투자를 받았을 것 같습니다.
Levels/R4_EpidemicHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 2성급 인증을 받았습니다.\n\n법적 이유로 폐기할 필요가 없다는 Blighton의 보고서를 수신하게된 것은 새로운 변화였습니다. 감사합니다.\n\n더 많은 보상을 위해 현미경과의 싸움을 계속하거나 다른 곳으로 가서 조직을 확장하십시오.
Levels/R4_EpidemicHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 3성급 인증을 받았습니다.\n\n놀랍고 여전히 교차 점검 중이지만 일부 데이터에 따르면 귀하의 병원이 Blighton을 실제로 좋은 곳으로 만들었을 수도 있습니다. 이것은 불안하지는 않지만 엄청난 뉴스입니다.
Levels/R4_EpidemicHospital_Name	Blighton
Levels/R4_EpidemicHospital_Welcome_Text	Blighton에 오신 것을 환영합니다. 뜨겁고 끈적 거리며 모든 종류의 전염병에 시달리고 있습니다. \\n\\n위생 수준을 주시하고 백신을 준비하십시오!
Levels/R4_EpidemicHospital_Welcome_Title	블라 이튼 병원
Levels/R4_TouristHospital_Description	관광객들은이 멋진 햇살 가득한 마을에 모든 종류의 특이한 질병을 가져오고 싶어합니다.
Levels/R4_TouristHospital_Letter_Star_1	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 1성급 인증을 받았습니다.\n\n관광은 의심할 여지없이 일종의 질병이지만 카운티의 생계에도 중요합니다. 관광이 번창하려면 관광객 자신이 살아남 아야합니다. 이제 이런 일이 일어나고 있으므로 집으로 돌아가서 친구와 친구의 돈에 대해 이야기할 수 있습니다.\n\n더 많은 보상을 받기 위해 환대에서 계속 일하거나 다른 곳으로 가서 조직을 확장하세요.
Levels/R4_TouristHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 2성급 인증을 받았습니다.\n\n대부분의 질병이 카운티에 들어오는 포털을 계속해서 성공적으로 모니터링했습니다. 그들이 거주하는 사람들은 여가를 즐기는 사람들이고 광경을 좋아하므로 쇼를 하는 것을 잊지 마십시오.\n\n더 많은 보상을 위해 환대에서 계속 일하거나 다른 곳으로 가서 조직을 확장하십시오.\n
Levels/R4_TouristHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 3성급 인증을 받았습니다.\n\n우리 카운티 최고의 관광지가 의학적으로 적절하게 지원을 받은 적이 없습니다. 방문객들은 대체로 건강하고 행복하며 많은 돈을 지출합니다. 당신의 병원은 그 자체로도 꽤 핫스팟이되었습니다. 브라보.
Levels/R4_TouristHospital_Name	그로 클 베이
Levels/R4_TouristHospital_Welcome_Text	Grockle Bay에 오신 것을 환영합니다. 관광 핫스팟입니다. 남부의 더위를 견딜 수없는 세균에 휩싸인 휴가철 제조업 자들이 넘쳐날 준비를 하십시오. \\n\\n가능한 한 빨리 에어컨에 투자하는 것이 좋습니다.
Levels/R4_TouristHospital_Welcome_Title	그로 클 베이 병원
Levels/R5_FailingHospital_Description	이 실패한 도심 병원을 인수하고 되 돌리십시오.
Levels/R5_FailingHospital_Letter_Star_1	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 1성급 인증을 받았습니다.\n\n이 병원의 부채가 오랫동안 내 마음에 눌려있었습니다. 한때 그것은 내 휴식에 거의 영향을 미쳤다고 말해서 유감입니다. 나는 그것을 폐쇄하는 데 매우 가까워졌지만 이제 당신이 배를 안정 시켰으니 모든 서류 작업을할 필요가 없습니다. 거장 님, 여기 있습니다.\n\n더 많은 보상을 위해이 복원 프로젝트를 계속하거나, 그 멍청한 동네를 떠나 조직을 확장하세요.
Levels/R5_FailingHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 2성급 인증을 받았습니다.\n\n이전에는 상사가 Rotting Hill 병원의 상태에 대해 질문을 받으면 걱정과 직업을 구하고 모든 것이 헤엄 치다. 새롭고 전례없는 진실로 그들과 이야기할 수있게 해주셔서 우리 모두에게 큰 호의를 베 풀었습니다.\n\n더 많은 보상을 위해이 복원 프로젝트를 계속하거나 그 엉뚱한 동네를 떠나 조직을 확장하십시오.
Levels/R5_FailingHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 3성급 인증을 받았습니다.\n\n이 병원을 인수했을 때 우리가 그러한 전형적인 넝마에서 부자가 되는 이야기를 준비했다고 누가 생각했을까요. 이제 나는 그것을 그런 용어로 표현했고, 나는 그것이 상당히 역겹다는 것을 알았습니다.
Levels/R5_FailingHospital_Name	썩은 언덕
Levels/R5_FailingHospital_Welcome_Text	Rotting Hill Hospital은 점보 헬스 케어의 무자비한 비즈니스 관행 덕분에 한동안 마지막 다리에있었습니다. 현금이 떨어지고 평판이 나쁘고 은은한 양배추 냄새가납니다. Windsock 시장과 보건부는 Two Point Health Service의 소유권을 우리 조직으로 이전하기로 결정했습니다. \\n\\n이 곳을 바꾸려면 대출이 필요합니다!
Levels/R5_FailingHospital_Welcome_Title	로 팅힐 병원
Levels/R5_FinalHospital_Description	도심의 가장 바쁜 지역에 병원을 짓습니다. 맹공격에 대비하십시오. 행운을 빕니다!
Levels/R5_FinalHospital_Letter_Star_1	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 1성급 인증을 받았습니다.\n\n귀하의 조직은 Two Point 카운티에서 의료의 황금 표준이되었습니다. 당신은 모든 경쟁을 뛰어 넘어 그들의 오랜 희망과 꿈을 초라한 너덜 너덜 한 땅에 누워서 더럽혀진 채로 남겨 두었습니다. 진정으로 생각하지 않습니까?\n\n카운티에서 가장 바쁜 지역을 계속 지원하여 유산을 공고히하십시오.
Levels/R5_FinalHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 2성급 인증을 받았습니다.\n\n저의 훌륭한 리더십이 귀하의 의심스러운 자질을 극복 해주신 것에 대해 우리는 동의할 것입니다. 하지만 내 찬사, 오랜 세월의 악명, 내 멋진 편지는 정확히 어디에 있습니까?\n연필로 가득한 환희의 허풍 대신이 불의에 대해 성찰 해 주시기를 간청합니다.\n\n당신의 유산을 확고히하기 위해 카운티에서 가장 바쁜 지역을 계속 지원하십시오. .
Levels/R5_FinalHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 3성급 인증을 받았습니다.\n\n뉴스 매체는 "인구 과잉"에 대해 신중하게 우려하기 시작했으며 병원 관리인에게 더 큰 칭찬은 없을 것입니다.\n\n당신의 이름은 반향을 일으킬 것입니다. 우리의 너무나도 짧은 침묵을 중단하고 카운티의 진정한 잠재력을 상기시켜줍니다. 아마도 언젠가는 그것을 기억할 것입니다.
Levels/R5_FinalHospital_Name	Croquembouche
Levels/R5_FinalHospital_Welcome_Text	도시의 중심부에 오신 것을 환영합니다. 이것이 우리의 가장 어려운 도전입니다. 매일 수천명의 사람들이 Croquembouche를 통해 범람합니다. 그들 중 적어도 절반은 아파요. 저 멀리 점보 메가 코퍼레이션의 탑이 보인다. Jumbo Healthcare는 너무 오랫동안 지배적이었습니다. 여기에 성공적인 병원을 지을 수 있다면 카운티 최고의 조직 중 하나로 자리 매김할 것입니다.
Levels/R5_FinalHospital_Welcome_Title	Croquembouche 병원
Levels/R5_HighTechHospital_Description	도시를 괴롭히는 많은 질병을 치료할 수 있도록 첨단 병원을 건설하십시오.
Levels/R5_HighTechHospital_Letter_Star_1	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 1성급 인증을 받았습니다.\n\n귀하의 최신 기기를 모두 이해하지 못할 수도 있지만 유용하게 사용하고 있다는 소식을 듣고 기쁩니다.\n\n계속 현대화 더 많은 보상을 원하거나 다른 곳으로 가서 조직을 확장하십시오.
Levels/R5_HighTechHospital_Letter_Star_2	축하합니다. 귀하의 병원은 투 포인트 보건부에서 2성급 인증을 받았습니다.\n\n우리 카운티의 의료 서비스를 미래로 추진하고 있다는 소식을 듣고 기쁩니다. 당신의 장비 동료들, 우리가 무의식적으로 시대의 종말을 가져 오지 않도록. 어쨌든, 대단한 일입니다.\n\n더 많은 보상을 위해 카운티 현대화를 계속하거나 다른 곳으로 가서 조직을 확장하십시오.
Levels/R5_HighTechHospital_Letter_Star_3	축하합니다. 귀하의 병원은 투 포인트 보건부로부터 3성급 인증을 받았습니다.\n\n미래는 자동화의 증가에 달려 있다고 들었습니다. 그리고 내가 닫힌 문 뒤의 요점에 대해 논쟁할 수도 있지만, 이 잘못된 대의를 공개적으로 지원하기 위해 최선의 정치적 이익을 위해. 나는 만져지지 않는 것처럼 보이지 않는다. 게다가… 마멀레이드에서 나방을 좋아하는 사람은 아무도 없다.
Levels/R5_HighTechHospital_Name	펠리칸 워프
Levels/R5_HighTechHospital_Welcome_Text	Pelican Wharf에 오신 것을 환영합니다. 이 첨단 기술 허브는 활동으로 분주하고 까다로운 질병에 시달리고 있습니다. 새 병원을 세우기에 좋은 곳이지만 여기에서 번영하려면 강력한 장비가 필요합니다. \\n\\n가능한 한 연구에 집중하고 장비를 업그레이드하는 것이 좋습니다.
Levels/R5_HighTechHospital_Welcome_Title	펠리칸 워프 병원
Levels/Remix/Intro_Letter	병원 관리를 시뮬레이션하는 소프트웨어 인 R.E.M.I. X 또는 Rendered Environments of Medical Intrigue ... X를 사용하도록 초대하고 싶습니다 (그런 것을 상상할 수 있다면). 사람들이 실제로 죽지는 않지만 아직 준비가 되지 않은 안전한 환경에서 미래의 카운티 관리인을 교육하는 데 사용될 것입니다. 이 소프트웨어는 가상 의료 시나리오를 모델링하기 위해 기존 병원을 분석해야 합니다. 이러한 시나리오도 테스트가 필요합니다. 가급적 자신이 무엇을 하고 있는지 아는 사람이 수행해야 합니다.\n\n명확하지 않은 경우 소프트웨어를 테스트 해보세요. 그것은 부풀어 오를 것입니다 ... 감사합니다!
Levels/Remix/Letter_LevelComplete	레벨 완료
Levels/Remix/Letter_Rank	등급
Levels/Remix/Metamap_Letter_Signature	Sophie Nova\nBungle Technologies CEO
Levels/Remix/R1_Hogsport_Description	R.E.M.I. X를 부팅하고 인공 호구스포츠에서 환자 무리를 치료하십시오.
Levels/Remix/R1_IntroHospital2_Description	도전을 완료하여 플롯을 잠금 해제하십시오. 
Levels/Remix/R1_IntroHospital2_Welcome_Text	이 레벨의 플롯은 도전 뒤에 잠겨 있습니다.\n도전을 완료하여 플롯을 잠금 해제하고 별을 획득하세요.\n\n이게 뭐죠? 좋아요, 그렇게 간단하게 들리면 서둘러서하세요. Blimey.
Levels/Remix/R1_IntroHospital2_Welcome_Title	플롯을 해방하십시오
Levels/Remix/R1_IntroHospital3_Description	경력 개발에서 이익을 얻습니다 (귀하의 것이 아님).
Levels/Remix/R1_IntroHospital3_Target_Advisor_Intro	R.E.M.I. X는 새로운 <style="AdvisorHighlight">사이드 퀘스트</style>를 생성했습니다.
Levels/Remix/R1_IntroHospital3_Target_Advisor_Intro_Title	다가오는 도전
Levels/Remix/R1_IntroHospital3_Target_Advisor_Outro_Failure	사이드 퀘스트를 완료하지 못했습니다. <style="AdvisorHighlight">{[REWARDS]}</style>
Levels/Remix/R1_IntroHospital3_Target_Advisor_Outro_Success	사이드 퀘스트를 완료했습니다. 축하합니다.\n<style="AdvisorHighlight">{[REWARDS]}</style>
Levels/Remix/R1_IntroHospital3_Target_Intro	R.E.M.I. X는 새로운 사이드 퀘스트를 생성했습니다.
Levels/Remix/R1_IntroHospital3_Target_Name	사이드 퀘스트
Levels/Remix/R1_IntroHospital3_Target_Outro_Failure	아뇨, 사이드 퀘스트를 완료하지 못한 것에 대해 불이익을 받았습니다.
Levels/Remix/R1_IntroHospital3_Target_Outro_Success	잘 했어! 사이드 퀘스트를 성공적으로 완료하여 상을 받았습니다.
Levels/Remix/R1_IntroHospital3_Target_Outro_Title	사이드 퀘스트 : 결과 
Levels/Remix/R1_IntroHospital3_TrainingBonus_Advisor	교육 보너스!\n<style="AdvisorHighlight">{[REWARDS]}</style>.
Levels/Remix/R1_IntroHospital3_Welcome_Text	이 시나리오에서 R.E.M.I. X는 진단 및 치료를 포함하여 귀하의 모든 일반적인 소득 형태를 잔인하게 줄였습니다.\n\n하지만 걱정하지 마십시오. 당신이 걱정했다고 말할 수 있습니다. 이상하지 않습니까? -직원 개발 및 직원 교육과 관련된 과제 또는 "사이드 퀘스트"를 완료하면 충분한 금전적 보상을 받게되기 때문입니다.
Levels/Remix/R1_IntroHospital3_Welcome_Title	비테 링
Levels/Remix/R1_TutorialHospital_Welcome_Text	이 "레벨"에서는 호구스포츠의 디지털 레크리에이션에서 한 번에 한 웨이브 씩 환자를 치료하게됩니다. R.E.M.I. X에서는 별을 받기위한 목표를 완료합니다. 이 별들은 가시적 인 어떤 것도 반영하지 않습니다. 투 포인트 보건부와 같은 공인된위원회에 의해 표준화된 등급이 아닙니다. 그들은 단지 비디오 게임의 진보와 이해된 관행을 상징합니다. 그리고 현실을 직시합시다. 이제 그들에 대해 들었으니 하나 원 하시죠?\n\n어떤 사람들은 병원 운영에 관한 게임 같은 소프트웨어를 디자인하는 것이 나쁜 취향이라고 주장할 수도 있지만 ... 예 . Bungle의 사람들과 함께하십시오.
Levels/Remix/R1_TutorialHospital_Welcome_Title	R.E.M.I. X
Levels/Remix/R2_FractureHospital_Description	우뚝 솟은 방어를 구축하고 부서지고 타박상을 입은 무리에 대비하십시오.
Levels/Remix/R2_FractureHospital_Welcome_Text	엄청난 규모의 환자를 위해 교육되지 않은 직원으로 가득 찬 병원을 준비하는 것을 상상할 수 있습니까? 지금 당장 일어나고 있으므로 상상할 필요가 없습니다!\n\nR.EMI X는 도착하기 전에 준비할 시간을 제공하고 거의 모든 운영 비용을 충당할 것이므로 직원을 교육하고 구축하십시오. 시설과 골절된 뼈에 대해 그들이 말하는 것을 기억하십시오…\n부러지지 않았다면 고치지 마십시오…
Levels/Remix/R2_FractureHospital_Welcome_Title	자신을 보호하십시오… 다른 사람을 보호하기 전에
Levels/Remix/R2_ResearchHospital_Description	책 학습을 사용하여 전체 병원 캠퍼스를 엽니 다.
Levels/Remix/R2_ResearchHospital_Welcome_Text	Mitton의 의과 대학은 다른 모든 것보다 두 가지 기술을 중요하게 생각합니다.\n아니요, 치료와 진단이 아니라 교육과 연구입니다!\n\n공동 영예를 받고, 대학 건물을 모두 잠금 해제하고, 매우 뛰어난 디지털 기술을 획득하려는 두 가지 추구 모두에서 적성을 보여주세요. 별.
Levels/Remix/R2_ResearchHospital_Welcome_Title	학교 프로젝트
Levels/Remix/R2_WealthyHospital_Description	의료 마케팅의 한계를 테스트하십시오.
Levels/Remix/R2_WealthyHospital_Target_Advisor_Intro	R.E.M.I. X는 새로운 <style="AdvisorHighlight">Timed Side Quest</style>를 생성했습니다.
Levels/Remix/R2_WealthyHospital_Target_Intro	R.E.M.I. X는 새로운 Timed Side Quest를 생성했습니다.\n\n특정 질병이있는 환자를 병원으로 유치하기 위해 마케팅 캠페인을 실행할 수 있습니다.
Levels/Remix/R2_WealthyHospital_Target_Name	시간 제한 사이드 퀘스트
Levels/Remix/R2_WealthyHospital_Welcome_Text	특정 질병을 앓고있는 여러 환자를 일정 시간 내에 치료하여 시간 제한 "사이드 퀘스트"를 완료하고 레벨을 완료하는 과정에서 금전적 보상을 받습니다.\n\n앉아서 오래된 팀을 만족스럽게 치료할 필요가 없습니다. , Rich 또는 Gary가 표시됩니다. 대신 마케팅의 마법을 사용하여 고객을 선별하고 특정 질병이있는 환자를 병원으로 유치하십시오. 마케팅실에서 약국 캠페인을 시작하여 시작하십시오.\n
Levels/Remix/R2_WealthyHospital_Welcome_Title	올 루어 앤 큐어
Levels/Remix/S_Words/S_V1	신랄한
Levels/Remix/S_Words/S_V10	격렬한
Levels/Remix/S_Words/S_V11	운유도
Levels/Remix/S_Words/S_V12	avoury
Levels/Remix/S_Words/S_V13	빨래
Levels/Remix/S_Words/S_V14	econd-to-none
Levels/Remix/S_Words/S_V15	마트 캐주얼
Levels/Remix/S_Words/S_V16	urf 및 잔디
Levels/Remix/S_Words/S_V17	ame Old, Same Old…
Levels/Remix/S_Words/S_V18	지글 지글
Levels/Remix/S_Words/S_V19	omewhat 인상적
Levels/Remix/S_Words/S_V2	단수
Levels/Remix/S_Words/S_V20	훌륭한
Levels/Remix/S_Words/S_V21	매싱
Levels/Remix/S_Words/S_V22	테이 츠맨 다운
Levels/Remix/S_Words/S_V23	태거 링
Levels/Remix/S_Words/S_V24	열광적 인
Levels/Remix/S_Words/S_V25	o 매우 좋음
Levels/Remix/S_Words/S_V3	에미 날
Levels/Remix/S_Words/S_V4	철자법
Levels/Remix/S_Words/S_V5	마일 가치가있는
Levels/Remix/S_Words/S_V6	우 블리
Levels/Remix/S_Words/S_V7	비뇨기
Levels/Remix/S_Words/S_V8	욕설
Levels/Remix/S_Words/S_V9	uperb
Levels/Sandbox_AvailableAt	Flottering에서 별 1개 후 샌드박스 모드 잠금 해제
MainFont	Fonts & Materials/Baloo/Baloo-Regular SDF
MainFontDynamic	Fonts & Materials/Baloo/Baloo-Regular
MainFontShadow	Fonts & Materials/Baloo/Baloo-Regular SDF Shadow
Marketing/DLC_1/Illness_BarkingMad_Desc	제안된 계획은 다음을 포함하는 다양한 접근 방식입니다 : 개 비스킷의 이동 경로와 병원으로 이어지는 흥미로운 냄새; 가족이 사랑하는 사람의 개와 같은 행동을 더 잘 발견하도록 돕는 인식 캠페인; 그리고 병원 상표가 붙은 테니스 공이 인근 공원에 남아 있습니다.
Marketing/DLC_1/Illness_BarkingMad_Name	짖는 미친 캠페인
Marketing/DLC_1/Illness_Frankenstein_Desc	현지 승려들에게 연락하여 사용 가능한 종탑에서 병원의 소재를 무인 항공기로 만들도록 요청합니다. 외딴 건물, 우울한 숲, 중고 비디오 숍 근처에 특히주의를 기울입니다.
Marketing/DLC_1/Illness_Frankenstein_Name	Monster Mishmash 캠페인
Marketing/DLC_1/Illness_Robotzilla_Desc	브랜드 팝콘과 음료 용기는 지역 영화관으로 보내져 반짝이는 고층 건물이있는 액션 영화와 불가능할 정도로 깨끗하고 천장이 높은 아파트가있는 롬콤의 효과를 완화합니다.
Marketing/DLC_1/Illness_Robotzilla_Name	대도시 캠페인
Marketing/DLC_2/Illness_8Ball_Desc	우리는 Screwball을 가진 사람들이 머리의 무게로 인해 종종 쓰러지기 때문에 발목 수준에서 평소보다 더 많은 시간을 보내는 것으로 의심됩니다. 지상에 가까운 합리적인 가격의 간판 기회를 많이 임대하여 그들을 타겟팅하십시오.
Marketing/DLC_2/Illness_8Ball_Name	스크류 볼 캠페인
Marketing/DLC_2/Illness_BlankLooks_Desc	익명의 초기 징후에 대한 인식을 널리 알리기 위해 BF 설인의 음성 인 시청각 광고를 의뢰하십시오.
Marketing/DLC_2/Illness_BlankLooks_Name	블랭크 룩 캠페인
Marketing/DLC_2/Illness_Explorer_Desc	Two Point Squabbler에게 돈을 지불하여 일련의 미묘한 구두 단서를 남기십시오. 함께 조립하면 병원에 라임 릭 텔링 골렘과 수십 개의 함정으로 보호되는 비밀 인공물이 가득한 던전이 있음을 알 수 있습니다.
Marketing/DLC_2/Illness_Explorer_Name	원더 러스트 캠페인
Marketing/DLC_3/Illness_Asto_Description	
Marketing/DLC_3/Illness_Asto_Name	인류 부족 캠페인
Marketing/DLC_3/Illness_Astro_Description	투 포인트 카운티에 은밀하게 통합되는 것이 결코 쉬운 일이 아니라는 것을 외계인에게 알리기 위해 다른 행성에 대한 인식을 전파하는 캠페인입니다. 사용되는 형식은 다음과 같습니다. 연기 신호; 상수도의 화학적 참고 사항; 그리고 선율적인 비명 소리.
Marketing/DLC_3/Illness_Astro_Name	인류 부족 캠페인
Marketing/DLC_3/Illness_Cardboard_Description	장거리 우주 포장재를 후원하여 병든 여행자가 포장을 뜯은 순간 우리를 찾아올 수 있도록합니다.
Marketing/DLC_3/Illness_Cardboard_Name	플랫 팩 캠페인
Marketing/DLC_3/Illness_Frog_Description	Pebberley Frog Sanctuary 안팎의 암호화된 메시지에 대해 지불하여 갇힌 수륙 양용 외계인에게 우리가 제공하는 서비스를 알립니다.
Marketing/DLC_3/Illness_Frog_Name	프로그 본 캠페인
Marketing/DLC_4/Illness_Pinocchio_Desc	환자를 병원으로 유인하고 정직과 목수에 대한 중요한 교훈을 가르치려는 일련의 복잡한 유혹에 자금을 지원하십시오.
Marketing/DLC_4/Illness_Pinocchio_Name	Woodworms 캠페인
Marketing/DLC_4/Illness_Scarecrow_Desc	농부들에게 호박, 골수 및 스쿼시 가족의 기타 현장 기반 구성원의 뒷면에 표적 메시지를 새기도록 지불하십시오.
Marketing/DLC_4/Illness_Scarecrow_Name	혼란스러운 캠페인
Marketing/DLC_4/Illness_Tech_Desc	매우 정교하고 두 갈래의 접근 방식입니다. 1 단계 : 카운티에서 가장 인기있는 소프트웨어 및 서비스의 코드에 숨겨진 메시지를 포함합니다. 2 단계 : 일부 포럼에 게시합니다.
Marketing/DLC_4/Illness_Tech_Name	글리치 패치 캠페인
Marketing/DLC_4/Room_PlantWard_Desc	부풀고 부풀어 오른 남자들을 빌려 지역 가든 센터에서 허브 가든 트리트먼트를 홍보하세요.
Marketing/DLC_4/Room_PlantWard_Name	허브 가든 캠페인
Marketing/General_L_Desc	슈퍼 스타 배우 로데릭 쿠션이 출연하는 대규모 TV 캠페인으로 우리의 평판을 크게 높이세요.
Marketing/General_L_Name	대규모 캠페인
Marketing/General_M_Desc	카운티 전역에 일련의 병원 포스터를 의뢰하여 우리의 평판을 높이십시오.
Marketing/General_M_Name	중간 캠페인
Marketing/General_S_Desc	Two Point Squabbler의 외로운 마음 열에 광고를 게재하여 우리의 평판을 약간 높이십시오.
Marketing/General_S_Name	소규모 캠페인
Marketing/Illness_8Bit_Desc	수치심이 낮은 사람들을위한 광고 캠페인. 때로는 친절 해지려면 잔인해야 합니다.
Marketing/Illness_8Bit_Name	도트화 캠페인
Marketing/Illness_AnimalMagnetism_Desc	고음의 휘파람은 미친 동물을 끌어들이는 데 사용됩니다.
Marketing/Illness_AnimalMagnetism_Name	동물 자기 캠페인
Marketing/Illness_Clown_Desc	광대 알갱이가 병원 부지 주변에 흩어져 반경 2 마일 내에있는 광대를 끌어들입니다. 대부분 안전하며 광대의 1 % 만 용해됩니다.
Marketing/Illness_Clown_Name	광대 캠페인
Marketing/Illness_Cubism_Desc	큐비즘의 고통을 받는 사람들을 끌어 들이기 위해 인식 팜플렛이 카운티의 아트 갤러리로 전송됩니다.
Marketing/Illness_Cubism_Name	큐비즘 캠페인
Marketing/Illness_ElectricShock_Desc	재채기를할 때마다 애완 동물과 사랑하는 사람을 계속 감전시키는 사람들을 끌어 들이기 위해 잡지 광고를 게시하십시오.
Marketing/Illness_ElectricShock_Name	충격 공포 캠페인
Marketing/Illness_GreyAnatomy_Desc	인기있는 의료 드라마에서 의사들이 서로를 졸라 대는 TV 광고 캠페인.
Marketing/Illness_GreyAnatomy_Name	그레이색 아나토미 캠페인
Marketing/Illness_LightHeaded_Desc	나방의 큰 사진을 담은 광고판 캠페인은 어떤 이유에서인지 머리 용 전구를 가진 사람들을 끌어들이는 것처럼 보입니다. 기묘한.
Marketing/Illness_LightHeaded_Name	현기증 캠페인
Marketing/Illness_Mummy_Desc	지나가는 미라를 유인하기 위해 병원 부지 주변에 보물이 배포됩니다.
Marketing/Illness_Mummy_Name	조기 미이라 캠페인
Marketing/Illness_Pandemic_Desc	주방 재난에 시달리는 사람들의 곤경에 초점을 맞춘 짧은 다큐멘터리가 공개됩니다.
Marketing/Illness_Pandemic_Name	후라이팬데믹 캠페인
Marketing/Illness_QueenComplex_Desc	병원 주변에서 시끄러운 록 음악이 연주되어 자신이 록 스타라고 착각하는 사람들을 끌어들입니다.
Marketing/Illness_QueenComplex_Name	로열 플러시 캠페인
Marketing/Illness_Room_DNA_Desc	지역 am-dram 사회에서 유전 질환 환자를 유치하기 위해 DNA가 무엇인지 설명하는 교육적인 분위기의 작품을 제작하게하십시오.
Marketing/Illness_Room_DNA_Name	DNA 캠페인
Marketing/Illness_Room_FractureWard_Desc	광고는 카운티에서 사고가 가장 많이 발생하는 위치에 설치됩니다.
Marketing/Illness_Room_FractureWard_Name	골절 캠페인
Marketing/Illness_Room_Injection_Desc	바늘을 중심으로 한 캠페인 : 사람들은 바늘을 좋아합니다.
Marketing/Illness_Room_Injection_Name	주사 캠페인
Marketing/Illness_Room_Pharmacy_Desc	우리 병원이 사용하는 모든 훌륭한 신약에 대한 인식 캠페인을 시작하십시오. 약국에 더 많은 환자를 데려 와야합니다.
Marketing/Illness_Room_Pharmacy_Name	약국 캠페인
Marketing/Illness_Room_Psychiatry_Desc	모든 사람이 잠자는 동안 추적할 수 없지만 효과적인 광고를 주파수에 펌핑하기 위해 Two Point Radio를 지불할 수 있습니다. 그것은 정신과 환자를 유인해야 합니다.
Marketing/Illness_Room_Psychiatry_Name	정신과 캠페인
Marketing/Illness_Room_Surgery_Desc	당신에게서 물건을 꺼낼 때의 이점을 묘사 한 일련의 포스터를 지불함으로써 더 많은 수술 환자를위한 캠페인.
Marketing/Illness_Room_Surgery_Name	수술 캠페인
