Fonts & Materials/ARIAL SDF	
"Reporter for Two Point Radio, Sally Figblanket is in the area covering this year's salmon festival in Grockle Bay. She's asked if she can stop by to do a story on the hospital.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Reporter for Two Point Radio, Sally Figblanket is in the area investigating reports of maniacal laughter coming from Jumbo headquarters. She's asked if she can stop by to do a story on the hospital.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Reporter for Two Point Radio, Sally Figblanket is in the area covering whatever sport it is they play at The Sloop. She's asked if she can stop by to do a story on the hospital.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Reporter for Two Point Radio, Sally Figblanket is in the area covering the opening of Pelican Wharf's new underground, boutique goat's milk emporium. She's asked if she can stop by to do a story on the hospital.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Sally Figblanket's latest County round-up just went live. It's a feature on a hospital that's ""as boring as it is disgusting"". Oh no, it's about us. That went badly.\nWe'll need to improve the hospital if we don't want to be shamed in the press."	
"Sally Figblanket's latest County round-up just went live. She makes some jokes at our expense, they're ruthlessly cruel, but pretty funny actually ha-ha??Anyway.\nWe'll need to improve the hospital if we want to feature as anything more than comic relief."	
"Sally Figblanket's latest County round-up just went live. She doesn't say much about the hospital, except that it exists. It's good for people to know that, I suppose??nWe'll need to improve the hospital if we want people to add anything positive when mentioning us."	
"Sally Figblanket's latest County round-up just went live. Maybe it was a slow news day, but we get a nice-big-positive mention in it!\nThis is good publicity for the hospital, but I wonder if it could be better??"	
"Sally Figblanket's latest County round-up just went live. It's a feature on a hospital that's leading the County's healthcare into the future. Oh, it's about us. Great news!\n"	
"Audio, and part-time-visual, journalist Sally Figblanket has asked if she can visit the hospital as part of an expos챕 she's putting together about queuing. It sounds terrible, but it could be an opportunity for some good press if she's impressed whilst she's here.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Two Point Radio's resident person-that-isn't-often-there-because-they're-a-reporter Sally Figblanket has requested a ""press-pass"" to come and visit the hospital. We definitely don't have anything like that, but some publicity could be good for us.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Go-getting lead follower, Sally Figblanket, correspondent for Two Point Radio, has asked if she can visit the hospital as part of a series she's doing on the healthcare in the County.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Sally Figblanket, reporter for Two Point Radio, has been in touch asking if there's anything news worthy in the hospital. This could be a good opportunity to trick her into coming here for some press and, who knows, maybe she'll find something.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Sally Figblanket, reporter for Two Point Radio, is asking to visit the hospital. I'm not sure what she'd be looking for, but it could lead to some publicity.\nIf she's impressed with the hospital it could be good for our reputation. What do you think?"	
"Sophie Nova has sent us a BMail to say that she was disappointed by her recent visit, and it?셲 made her unsure about our companies??relationship moving forward.\nBungle aren?셳 going to share all of the their secret science magic with us if we keep this up!"	
"Sophie Nova has sent us a BMail to say that her recent visit didn?셳 inspire her and, actually, made her quite sad.\nOh dear. We?셪l need to improve the hospital if we want to impress the County?셲 leading technological mind."	
"Sophie Nova has sent us a BMail to say that she was pleased to visit, but doesn?셳 think we?셶e reached our potential, yet.\nHaving a strong relationship with Bungle Technologies could be very important for the future of our organisation. It didn?셳 go badly, but Ms Nova?셲 visit could have gone much better!"	
"Sophie Nova has sent us a BMail to thank us, and say that her visit has given her some exciting ideas.\nBungle are sending us a little of their recent research. Just what we needed, I think."	
"Sophie Nova has sent us a BMail to thank us, she used the word brilliant five times and says that she hasn?셳 stopped working since.\nBungle are sending us some of their research. Great job, Boss."	
"Rival executive, and CEO of Bungle, Sophie Nova has informed us that she'll be visiting the hospital, for inspiration, soon. She adds that she has inventor's block after releasing the 5th generation of Bungle's patented automated pancake maker.\nIf she's impressed with the hospital, she might share some information that could help our research department."	
"Rival executive, and CEO of Bungle, Sophie Nova has informed us that she'll be visiting the hospital, for inspiration, soon. She says that's she's looking for some new ideas after the release of the tiny aquarium butler.\nIf she's impressed with the hospital, she might share some information that could help our research department."	
"Rival executive, and CEO of Bungle, Sophie Nova has informed us that she'll be visiting the hospital, for inspiration, soon. She went on to ask how we calibrate our cure machines, before deciding she didn't want to know because she ""wants it to be a surprise"".\nIf she's impressed with the hospital, she might share some information that could help our research department."	
"Rival executive, and CEO of Bungle, Sophie Nova has informed us that she'll be visiting the hospital, for inspiration, soon. She said that Bungle Medi-Tech hospitals have been experiencing some inefficiencies, and she needs a fresh perspective.\nIf she's impressed with the hospital, she might share some information that could help our research department."	
"Rival executive, and CEO of Bungle, Sophie Nova has informed us that she'll be visiting the hospital, for inspiration, soon. \nIf she's impressed with the hospital, she might share some information that could help our research department."	
Augustus Lavender from Holistix contacted us to offer his condolences. Apparently our hospital is located in a pocket of negative energy that even healing crystals can't fix.	
"Augustus Lavender thanks us for allowing him to visit and hopes we enjoy the Holistix Light-as-Air Biscuits he left for us. I'll pass, thanks."	
"Augustus Lavender from Holistix sent us a letter. He expresses his thanks, and says the nature's miracle-grow is free of charge. Um, thanks Augustus."	
Augustus Lavender from Holistix reportedly scattered some of his special homemade compost in the hospital grounds as he left. I'm not sure what that means but it sounds a bit weird.	
"We received a 'gift' from Holistix, courtesy of Augustus Lavender. I was a bit suspicious so I sent it to the lab. Apparently it's what's known as a 'homeopathic poison'. It's entirely safe to drink and actually quite tasty. He must really hate us."	
"Rival executive, and CEO of Holistix, Augustus Lavender will be coming to the hospital, soon. They recently released a new line of 'mood cleansers', so those are sure to make an appearance.\nHe's pretty harmless, but we should keep an eye on him in case he becomes a nuisance."	
"Rival executive, and CEO of Holistix, Augustus Lavender will be coming to the hospital, soon. Apparently he intends to warn our patients that the medicine we provide is ""made-up"".\nHe's pretty harmless, but we should keep an eye on him in case he becomes a nuisance."	
"Rival executive, and CEO of Holistix, Augustus Lavender will be coming to the hospital, soon. He can get a bit lively due to the high amount of borage in his diet.\nHe's pretty harmless, but we should keep an eye on him in case he becomes a nuisance."	
"Rival executive, and CEO of Holistix, Augustus Lavender will be coming to the hospital, soon. Say what you like about the guy, he does smell good.\nHe's pretty harmless, but we should keep an eye on him in case he becomes a nuisance."	
"Rival executive, and CEO of Holistix, Augustus Lavender will be coming to the hospital, soon. You may see him drawing rough sketches of our equipment to burn, later, in 'bad luck rituals'.\nHe's pretty harmless, but we should keep an eye on him in case he becomes a nuisance."	
"A source at Jumbo Mega Corp has said that, after his recent visit, Jumbo McNally has crossed us off of some kind of list, has almost completely stopped muttering about us and is in very good spirits."	
"A source at Jumbo Mega Corp has said that, after his recent visit, Jumbo McNally has begun making jokes about us around the office, and no longer considers us a threat."	
"A source at Jumbo Mega Corp has said that, after his recent visit, Jumbo McNally is no more worried or comfortable than he was before. He believes he is paying us the exact right amount of attention."	
"A source at Jumbo Mega Corp has said that, after his recent visit, Jumbo McNally has been in a bad mood, throwing away people?셲 lunches and wailing, erratically, in his office."	
"A source at Jumbo Mega Corp has said that, after his recent visit, Jumbo McNally has set up a ?쁣lash team??to figure out, as quickly as possible, a means by which to destroy our entire organisation."	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is, apparently, on his way to the hospital. Oh dear.\nWe should be prepared for the most sophisticated forms of cruelty and sabotage that money can buy."	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is, apparently, on his way to the hospital. We should probably warn the janitorial staff.\nWe should be prepared for the most sophisticated forms of cruelty and sabotage that money can buy."	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is, apparently, on his way to the hospital. My sources seem to suggest that this isn't good news.\nWe should be prepared for the most sophisticated forms of cruelty and sabotage that money can buy."	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is, apparently, on his way to the hospital. It might mean that he's sick, but I doubt it.\nWe should be prepared for the most sophisticated forms of cruelty and sabotage that money can buy."	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is, apparently, on his way to the hospital. We should probably bolt down anything we'd like to keep.\nWe should be prepared for the most sophisticated forms of cruelty and sabotage that money can buy."	
Agatha Sphere from The Orb Foundation was heard cackling maniacally as she left the hospital earlier. This cannot be a good thing. What did she do during her visit?!	
"A leaked memo from The Orb Foundation reports that Agatha Sphere managed to find some new recruits during her hospital tour earlier, adding that she thought the hospital was ""a bit rubbish"". Not ideal, to be honest."	
"Reports from The Orb Foundation suggest that Agatha Sphere bumped into a few ""weak minded simpletons"" during her hospital tour, but otherwise has ""strong feelings of neutrality"" towards us. Hmmm."	
"According to an Orb Foundation senior doctor, or 'supreme healer' as they like to be known, Agatha Sphere returned from her visit looking quite frustrated. Maybe we're doing better than she expected?"	
The Orb Foundation just released a new promotional video containing a thinly veiled attack on our hospital in the form of some very bizarre and slightly disturbing imagery. Agatha Sphere must have felt threatened by her visit.	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere will be visiting the hospital, soon. It's not often she makes appearances, so we should feel honoured, I suppose??nWe should expect her to bother our patients, and disrupt the hospital."	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere will be visiting the hospital, soon. Don't look directly into her eyes, trust me.\nWe should expect her to bother our patients, and disrupt the hospital."	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere will be visiting the hospital, soon. I'm suspicious of anyone who promotes the wearing of sandals, and she is no exception.\nWe should expect her to bother our patients, and disrupt the hospital."	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere will be visiting the hospital, soon. She intends to take some of our patients and put them in comfortable robes. If that's not evil, I'm not sure what is.\nWe should expect her to bother our patients, and disrupt the hospital."	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere will be visiting the hospital, soon. I feel confused already??I need to lie down.\nWe should expect her to bother our patients, and disrupt the hospital."	
"Rival executive, and CEO of Holistix, Augustus Lavender is arriving at the hospital."	
"Augustus Lavender, the boss of Holistix Environmental Medicine & Pharmaceuticals, is coming to visit. He said any rivalry between our companies should be forgotten, and he just wants to come and spread peace and love. Not really sure what that means. Let's keep an eye on him."	
Visitor from Holistix	
Rival Boss Augustus Lavender	
"Rival executive, and CEO of Jumbo Mega Corp, Jumbo McNally is arriving at the hospital."	
"Jumbo McNally, CEO of Jumbo Mega Corp, is reportedly on his way to visit. He wants to discuss a possible merger with Jumbo Healthcare Inc. Let's keep an eye on him. He's notoriously short tempered when it comes to business."	
Visitor from Jumbo Mega Corp	
Rival Boss Jumbo McNally	
"Rival executive, and CEO of The Orb Foundation, Agatha Sphere is arriving at the hospital."	
"Agatha Sphere, Supreme Leader of The Orb Foundation, is coming to visit. She wants to have an open discussion on our relationship with their subsidiary Orb Medical. It all sounded very convincing, no hint of brainwashing, I honestly think this is a fantastic opportunity. So I invited her immediately. Also, just FYI, I think I love her now."	
Visitor from The Orb Foundation	
Rival Boss Agatha Sphere	
"Rival executive, and CEO of Bungle Technologies, Sophie Nova is arriving at the hospital."	
"Sophie Nova, CEO of Bungle Technologies, is coming to visit. She would love for us to be able to share knowledge to help make advances in medical science. Bungle Healthcare have made some interesting technological and pharmaceutical discoveries recently. This could be an interesting opportunity if we can demonstrate our advances in research."	
Visitor from Bungle Technologies	
Rival Boss Sophie Nova	
"I'm hearing that Jumbo McNally has sent one of his most nefarious employees to ""pay us a visit"".\nThey'll be indistinguishable from everyone else, but we should be on the lookout for someone damaging the hospital."	
"Jumbo Mega Corp are sending someone from their sabotage division to the hospital.\nThey'll be indistinguishable from everyone else, but we should be on the lookout for someone damaging the hospital."	
Disaster Warning: There are reports of a water tornado in the area.	
Water Tornado	
"Warning, a water tornado has been detected in the area! This could damage our machinery."	
"Each wave begins with a number of patients arriving. We'll need to successfully complete all Wave Objectives, before all of the patients have been processed, in order to progress to the next wave."	
Patients Processed: {[PROCESSED]} \nPatients Remaining: {[REMAIN]}	
Wave Objective	
Wave Objective Complete	
"Funding Update: Holistix will now cover <style=""AdvisorHighlight"">{[PERCENT]}</style> of our total running costs for the next 3 months, based on our score on the <style=""AdvisorHighlight"">Wellness Index</style>."	
Hunger	
Thirst	
Toilet	
Boredom	
Litter	
Energy	
Health	
Happiness	
XP	
Nausea	
Hygiene	
Temperature	
{[PERCENT]} Customer Service Skill	
{[PERCENT]} Diagnosis Skill in {[ROOM]}	
{[PERCENT]} Diagnosis Skill	
{[PERCENT]} Happiness	
{[PERCENT]} Maintenance Skill	
{[PERCENT]} Marketing Skill	
{[PERCENT]} Speed	
{[PERCENT]} Research Skill	
{[PERCENT]} Learning Speed	
{[PERCENT]} Teaching Speed	
{[PERCENT]} Treatment Skill in {[ROOM]}	
{[PERCENT]} Treatment Skill	
{[PERCENT]} Upgrade Skill	
"Superbug Project Completed: <style=""AdvisorHighlight"">{0}</style>\nClick here to collect your <style=""AdvisorHighlight"">rewards</style>."	
Superbug Network\nCollaborative Projects	
Consecutive Cures	
Albert Crank	
Did you know that thinking about the size of this project is making my head hurt? I need to lie down.	
First	
"Oh, and I almost forgot??This is the Superbug group chat. The chat can be used to communicate with fellow collaborators, to coordinate research strategies or interact in an affable manner, as I'm doing now. Good day."	
"Greetings! To begin, click on a research node to view its criteria and select ""Start"", then head to one of your hospitals. Advance down the Research Tree to find and complete its Victory Nodes, in order to finish the project."	
"Not all avenues of research are going to be fruitful??The more people you have working on a project, the faster you can eliminate any dead ends."	
Did you know (I love doing that) that the Project Leader can invite friends to join a project and help with the workload? Look out for Research Nodes that require data from more than one organisation.	
Sophie Nova	
"The potential applications of this technology are countless, and far too multitudinous to name. Still, I'm so excited that I'm going to start making a list to celebrate!"	
??	
An added bonus of you taking up this project is that I've been sent a year's supply of Cheesy Gubbins. And people say there aren't any perks to being a CEO! Thanks everyone.	
"I was meant to look into this ages ago, but Monobeasts make my skin crawl!"	
"I tried experimenting with ghosts before. I should have realised that a haunted alarm clock was going to be a terrifying way to wake up??There has to be a better idea! Cue, you guys."	
You'll need a partner to research loooooooooove	
"No, but seriously you'll need more than one person for this one."	
Complete this objective to contribute to the Collaborative Project.	
Collab Objective Description Test	
Collab Objective Name Test	
View Project	
Clear your data and restart your collaborative career.	
Successfully deleted collaborative data.	
"Are you sure you want to reset your collaborative data?\n\nYou'll restart your collaborative career, leave any active projects, but keep all of the rewards that you've earned."	
Restart Collaborative Career	
Connection Timed Out	
File Corruption	
"We're having trouble retrieving data from the project leader, {0}, due to:\n\n{1}\n\nWe'll continue to try and retrieve the data, however, if you don't want to wait, you can abandon this project. If you do abandon the project, all of your contributions will be lost."	
Restart	
"<style=""AdvisorHighlight"">Collaborative Projects</style> unlocked! Work with other healthcare organisations to explore new avenues of research, and make amazing discoveries."	
Abandon	
Are you sure you want to abandon this objective?\n\nAll progress towards this objective will be lost.	
Are you sure you want to abandon this project?\\n\\nConsequences are blah blah blah for leader/non-leader.	
"Are you sure you want to abandon this project?\n\nYou are the leader of this project. If you abandon it, the project will be shut down and all participants will lose their progress."	
"Are you sure you want to abandon this project?\n\nIf you leave this project, any contributions that you made will be lost."	
Abandon	
Abandoning??	
"You already have an active objective in {0}. If you start this new objective, {1} will be abandoned and all progress will be lost."	
You already have an active objective in the global project.  If you start this objective the previous one will automatically be abandoned and all progress lost!	
You already have an active objective in a collaborative project.  If you start this objective the previous one will automatically be abandoned and all progress lost!	
Chat	
Not long left...	
Collaborators:	
{0} Participant(s)	
Collect	
Collected	
Completed	
Completed	
Creating??	
{0:N0} day(s) remaining??	
Completed Objective <b>{0}</b>!	
Joined the project!	
Rejected an invite!	
Started Objective <b>{0}</b>!	
Gathering data from other Foundations...	
Incomplete	
Invite Collaborators	
Invites:	
Join	
Joining??	
"Are you sure you want to kick {0} from the project?\n\nYou will lose any contributions they made to this project, which may result in some progress being lost."	
Kick	
"You have been kicked from this project by its leader, {0}. Abandon the project to free up this project slot."	
Kudosh:	
Kudosh:	
Leader	
"Thank you for your continued cooperation,\n\nSophie Nova\nCEO, Bungle Technologies"	
Log	
New Research Project:	
New Research Project:	
OK	
Post message??	
Leader: {0}	
Recommended: {0}	
Reject	
Project Leader:	
Reward: {0}	
Rewards:	
Send	
Start	
Start New Project:	
Start Project	
Start	
Superbug Network	
You cannot have any more active projects. Abandon one if you want to start a new project.	
Uninvite	
Waiting	
<b>Your Contribution:</b> {0} Objective(s) Completed	
Your Contribution:	
{0} Objective(s) Completed	
Global Project	
Global Project Expired	
"The Superbug Initiative is happy to announce that the Creature Comfort Global Project has been completed.\n\nOur new range of medically compatible animals won't help cure anyone, but hopefully they'll liven the place up a bit.\n\nWell done, everyone."	
"Complete research objectives to conclude which animals would be beneficial, and suitable, to introduce into a medical environment."	
Creature Comfort	
"The Superbug Initiative is happy to announce that the Meditations on Mortality Global Project has been completed.\n\nZara Fitzpocket has sent us this:\n""I thank you for inspiring this work. I believe it speaks for itself, and when it speaks it speaks of you. What do you hear it say?""\nSo that seems??good?\n\nWell done, everyone."	
Inspire Zara Fitzpocket.	
Meditations on Mortality	
"The Superbug Initiative is happy to announce that the Fruit Loot Global Project has been completed.\n\nOur hospitals should look a lot more summery now, with all that fruit everywhere. Will that make them better hospitals? That's not for me to say. Do they look good, though? Yes, yes they do.\n\nWell done, everyone. Enjoy the fruit of your labour."	
Help the Superbug Initiative introduce some fruity flavour to the County's hospitals.	
Fruit Loot	
"The Superbug Initiative is happy to announce that the Nice Smelling Research Global Project has been completed.\n\nJasmine Odyssey is thrilled with the outcome of our research. No longer will Pointians have to choose between being either sterile OR nice smelling.\n\nWell done, everyone."	
"Gather data to help design Jasmine Odyssey's ""Nice Smelling Sanitiser"" and receive access to the final result, as well as rewards from the Popstar."	
Nice Smelling Research	
"The Superbug Initiative is happy to announce that the Gyro-Nut Global Project has been completed.\n\nThe conclusion of this ground-breaking project marks a new beginning for the Superbug Initiative. We've generated an unprecedented amount of data, and developed a range of new and exciting medical technology utilising the Gyro-Nut.\n\nWell done. You'll hear from me soon..."	
Collaborate with every organisation in the Superbug Network to find applications for the Gyro-Nut and advance Two Point County's medical technology.	
The Gyro-Nut	
Complete this objective to contribute to the Global Project.	
Project Completed	
"The Superbug Initiative is happy to announce that the Healthy Appetite Global Project has been completed.\n\nEverybody is talking about our snacks. Whether you're for them, or against them??Snacks. Snacks for all.\n\nWell done, everyone."	
Help the Superbug Initiative develop a range of platter-bound snacks.	
Healthy Appetite	
"Collaborative Objective Completed: <style=""AdvisorHighlight"">{0}</style>\nRewards: <style=""AdvisorHighlight"">{1}</style>\nClick here to see the status of the project??"	
"<style=""AdvisorHighlight"">{0}</style> has been updated. Click here to take a look."	
"<style=""AdvisorHighlight"">{0}</style> and <style=""AdvisorHighlight"">{1}</style> have been updated. Click here to take a look."	
"<style=""AdvisorHighlight"">{0}</style>, <style=""AdvisorHighlight"">{1}</style> and <style=""AdvisorHighlight"">{2}</style> have been updated. Click here to take a look."	
Invite a friend to join this project.	
"Your organisation shows great promise, and, as a result, has been chosen to take part in the Bungle Superbug Initiative. Congratulations.\n\nThe Superbug Initiative was founded with the intention of connecting the finest minds in the County in order to tackle our most pressing medical concerns. Since then, Superbug has transformed into the premier interface for all forms of research and technology.\n\nYou have been given access to the Superbug Network, when you're ready, dive headfirst into the exciting world of collaborative research."	
"On my most recent trip to a hospital, I found myself thinking: ""this place needs more animals"". But which animals would be appropriate for a medical facility as well as good company for our patients and staff? Yaks? Emus? Platypuses? I quickly realised that I wasn't fit to make that decision alone.\n\nI'd like to investigate which creatures would be most suitable for this task. Above all else, they should improve the overall ""Alive : Dead"" ratio in any given hospital.\n\nThe Superbug Initiative has launched a Global Project. Check the Superbug Network to contribute to the project and collect rewards."	
"Two Point County's least unknown artist, Zara Fitzpocket, is looking to break out of a creative rut by ""collaborating with the Superbug Network"". We were confused at first too, don't worry, but it seems like she just wants us to complete some medical tasks to inform and inspire a series of work she's calling ""Meditations on Mortality"".\n\nThe Superbug Initiative has launched a Global Project. Check the Superbug Network to contribute to the project and collect rewards."	
"Is it just me, or do our hospitals just not look summery enough this time of year?\n\nAfter a lot of scientific data analysis, I randomly decided that they'd look better if they were a bit ""fruitier"". I'm not sure what that means, practically, but that's why we have you lot. Get to it.\n\nThe Superbug Initiative has launched a Global Project. Check the Superbug Network to contribute to the project and collect rewards."	
"Jasmine Odyssey wants to combine two of her favourite things: nice smells and clean hands, with, what she's calling her ""Nice Smelling Sanitiser"". She's asked the Superbug Initiative to gather a huge amount of data so that her aromatic technicians can design the finest, most fragrant steriliser Two Point County has ever seen.\n\nThe Superbug Initiative has launched a Global Project. Check the Superbug Network to contribute to the project and collect rewards."	
"The Superbug Initiative is excited to announce, and open, its first Global Project.\n\nBungle have created a new thingamajig: the Quadra-Hyper Neuro-Perma Batho-Omni Gyro-Nut, or Gyro-Nut for short. We've been waiting for the right moment to unite everyone in the Superbug Network on a single project, and, with the recent development of this cutting-edge machine component, now is the perfect time!\n\nOur scientists believe that there are countless possible applications for the Gyro-Nut, and they're calling for the entire Superbug Network to explore different avenues of research to help design some new medical technology."	
"Thank you,\nSophie Nova\nCEO, Bungle Technologies"	
"I come to you, friends, in the hope of improving work environments throughout the County. My plan is based upon two key principles...\n\nOne, I hate getting hungry at work. Two, I love eating food from a platter. \n\nThe Superbug Initiative has launched a Global Project. Check the Superbug Network to contribute to the project and collect rewards."	
Not Playing	
{0}/{1} players have completed this Research Node.	
{0}/{1} Players Completed	
Playing Two Point Hospital	
"Bungle thinks that unwanted, animated hair should be a thing of the past. Collect data on that shaggy floor-worm, the pesky Monobeast! - and help develop a more modern, painless disposal method.\n\nThis project can be completed alone, but progress may be faster with contributions from another healthcare organisation."	
"Health Inspector Henry Jobsworth has penned an open letter in the Two Point Squabbler: ""I believe that we may be misdiagnosing the condition known as ""Love"". Long believed to originate organically and incorporeally, it may, in fact, be an illness. If this proves to be the case, all previous health inspections would be null and void, and all healthcare would be required to stop, immediately, to allow for new inspections.""\n\nIt's not as urgent as Henry makes it sound, as fortunately/unfortunately no one really listens to Mr Jobsworth at the ministry, but it's an interesting line of inquiry and it would really calm him down if we reached a conclusion on the matter. You'll need at least one other organisation to conduct this research."	
"The fine people at Bungle believe that Two Point County is leaving one of its largest resources untapped: the deceased population. They began toying with ways of putting the perished to work, but all plans were shelved. Help resurrect their plans, and the usefulness of our ancestors, to make the most of your organisation's less fortunate former patients.\n\nIt looks like this amount of work would be better suited for a few organisations."	
"The big cheeses at Cheesy Gubbins want to run the most comprehensive study in the history of  cheese ""to understand the sacred balance between man and cheese, for the betterment of all Two Point County, and to dictate the future of the gubbin"".\n\nThey require substantial research into the constitution of the Pointian, as well as how it responds to, and how its been shaped by, cheese. Who'd have thought there was so much to know about cheese?... The people at Cheesy Gubbins, I guess."	
"The story goes that one night, late at Bungle HQ, Sophie Nova had a sequence of words flow through her and onto her Bureaucats notepad: ""machines what think if could"". She was convinced that there was a significant idea in there somewhere, but couldn't decipher her own moment of inspiration. Several years and thousands of notepads later, the sequence would unscramble itself before her eyes: ""what if machines could think""...\n\nIt's been Sophie's pet project ever since, but it's been nothing more than a pipedream, until now. A huge amount of varied data needs to be gathered in order to create artificial intelligence capable of working in healthcare."	
Hair Removal	
Love Sick	
Dead Weight	
Cheese on the Chalkboard	
Learning Machine Learning	
"The Superbug Initiative are happy to announce that another project has been completed.\n\nCongratulations on a successful contribution to the development of Two Point County.\n\nToday marks a long overdue victory over the Monobeasts. I am, personally, extremely relieved."	
"The Superbug Initiative are happy to announce that another project has been completed.\n\nCongratulations on a successful contribution to the development of Two Point County.\n\n""Love"" has been classified: NOT AN ILLNESS. I got in touch with Mr Jobsworth to give him the news, but he had no idea what I was talking about."	
The Superbug Initiative are happy to announce that another project has been completed.\n\nCongratulations on a successful contribution to the development of Two Point County.\n\nWe've improved the functionality of the deceased. We can only hope that this is what they'd have wanted.	
The Superbug Initiative are happy to announce that another project has been completed.\n\nCongratulations on a successful contribution to the development of Two Point County.\n\nWe now know more about cheese than any civilised society has ever known about cheese. Cheesy Gubbins has slightly modified their 500 year plan to reflect the research. They're so please that they've sent you all a commemorative plinth.	
"The Superbug Initiative are happy to announce that another project has been completed.\n\nCongratulations on a successful contribution to the development of Two Point County.\n\nOur new AI has already started telling jokes and asking questions. I'm sure we'll look back on this day fondly, and not as the beginning of the end??"	
???	
"Jasmine's sent you one of her EPs to thank you, featuring her songs ""Nice Smelling Face"" and ""Fish Whispers""."	
"This County-shaking EP contains the hit songs ""Nice Smelling Face"" and ""Fish Whispers"". "	
Jasmine EP	
Music	
Music - Out Soon	
Undiscovered Node	
Super Bug Description Test	
Super Bug Name Test	
Well done. You solved the Alan Huskins Project! Collect your rewards before it goes!	
There is a new global project available to play in the Collaborative Projects menu!	
Alan and Ben would like to invite you to join them in solving this problem.	
The Alan Huskins Project	
Fonts & Materials/Karla_Superbug/Karla-Regular SDF	
Timed Cure Patients	
Timed Moneymaker	
Timed Research	
{[DAYS]} days	
Completed Nodes: {0}	
You have completed this	
"This avenue of research has reached a dead end. Try other, more fruitful, paths."	
Start New Project	
Train Assistants	
Train Doctors	
Train Janitors	
Train Nurses	
Collaborate with other organisations on special research projects to discover technology and receive rewards.\n\nWhy don't you try starting a project?	
The Superbug Initiative	
"This is the Global Superbug Network screen. Here, you can view the Research Tree for an active global project. The whole community will need to work together to complete this project. A certain number of organisations will need to complete each Research Node in order to advance down the research tree and find the Victory Nodes for this project. Each organisation can only have one Research Node active at a time, so choose wisely. If you're lucky, the community might have already completed some Victory Nodes, so be sure to collect the rewards."	
Global Superbug Projects	
"This is the Superbug Network screen. Here, you can view the Research Tree for active projects. You'll need to complete Research Nodes in order to advance down the Research Tree and find the Victory Nodes necessary for completing that project. Research Nodes can be completed in any of your hospitals. Only one Research Node can be active at a time, so choose wisely."	
Superbug Projects	
Update Pending: Failed to retrieve the latest project data.	
Victory Node	
Accounts Assistant	
Accounts Payable Supervisor	
Additional Music & Support	
Administration and Finance Coordinator	
Assistant Mastering Technician	
"Assistant PR & Events Manager, Americas"	
Audio Consultant	
Music and Sound Design	
Brand Licensing	
Brand Manager	
Business Analysis Manager	
Business Analyst	
Business Analysts	
Business Development Director	
Business Planning	
Business Planning Associate	
Business Planning Co-ordinator	
CFO	
COO	
"CTO, Publishing "	
Click or press any key to exit	
Jest Infection Named By	
Commercial Coordinator	
Commercial Director (SOA and Atlus)	
"Commercial Director, Japanese IP"	
Commercial Publishing	
Community Manager	
Community Marketing Manager	
Compliance QA Senior Tester	
Compliance QA Team Leads	
Compliance QA Tester	
Content Director	
Corporate 	
Corporate Office Manager	
Creative Designer	
Creative Lead	
Creative Project Manager	
Creative Services	
Credit Control Manager	
Customer Service Manager	
Customer Support Assistant	
Data Architect	
Developed By	
Development Babies	
Development Service Administrator	
Development Team	
Digital Distribution Administrator	
Director of Brand Licensing (EU)	
Director of Business Analysis	
Director of HR	
Director of Legal and Business Affairs	
Director of Technology	
EMEA Sales Account Manager	
EMEA Sales Director	
"EVP, Publishing"	
Equipment & Mastering Coordinator	
Equipment & Shift Coordinator	
Equipment & Mastering Coordinator	
Equipment & Shift Coordinator	
Facilities Manager	
Finance	
Finance Business Partner	
Finance Controller	
Finance Director	
Finance Manager	
Functionality QA Lead	
Functionality QA Senior Tester	
Functionality QA Testers	
Game Play/BETA Testing	
General Counsel	
Group Finance Manager	
HR	
HR Advisor	
HR Assistant	
HR Manager	
HR Systems & Insights Manager	
Head of Brand	
Head of Business Planning	
Head of Commercial Analysis	
Head of Console and Partnerships	
Head of Creative Services	
Head of Design & Development	
Head of Design & Development	
Head of Licensing	
Head of Live Operations & Development	
Head of Live Operations & Development	
Head of Network and Security 	
Head of Operations	
Head of PR	
Head of Production	
Head of Program Office	
Head of QA	
Head of QA & Localisation	
Head of Studio Localisation and ESD	
IT	
IT Support Manager	
Junior Business Analyst	
Junior Commercial Analyst	
Junior Data Developer	
Junior Digital Account Manager	
Junior Graphic Designer	
Junior IT Support Apprentice	
Junior IT Support Technician	
